,name,Classic,Outstanding,Very Good,Good
454,back,30,569,NA,NA
455,backbone,34,568,NA,NA
456,balsamic,62,554,NA,NA
457,beautiful,173,1150,NA,NA
458,beautifully,137,1047,NA,NA
459,beef,28,552,NA,NA
460,blackfruit,NA,532,NA,NA
461,boasts,43,568,NA,NA
462,boysenberry,NA,658,NA,NA
463,brooding,42,570,NA,NA
464,cake,29,469,NA,NA
465,cellar,126,1134,NA,NA
466,density,49,606,NA,NA
467,develop,159,1203,NA,NA
468,doles,NA,538,NA,NA
469,elegance,110,1128,NA,NA
470,elements,43,664,NA,NA
471,excellent,29,827,NA,NA
472,extra,35,521,NA,NA
473,find,34,487,NA,NA
474,finegrained,26,746,NA,NA
475,finely,38,561,NA,NA
476,firmly,31,544,NA,NA
477,five,29,528,NA,NA
478,floor,34,508,NA,NA
479,focused,50,806,NA,NA
480,forest,57,787,NA,NA
481,framed,45,672,NA,NA
482,fully,48,531,NA,NA
483,gorgeous,139,478,NA,NA
484,graphite,40,790,NA,NA
485,grip,NA,549,NA,NA
486,highlights,NA,505,NA,NA
487,hold,81,619,NA,NA
488,honeyed,38,494,NA,NA
489,impressive,189,1368,NA,NA
490,integrated,52,965,NA,NA
491,intensely,48,529,NA,NA
492,intriguing,NA,549,NA,NA
493,inviting,NA,546,NA,NA
494,keep,57,502,NA,NA
495,layered,75,1371,NA,NA
496,leaf,30,629,NA,NA
497,least,141,919,NA,NA
498,length,63,883,NA,NA
499,lift,35,494,NA,NA
500,linger,NA,520,NA,NA
501,lovely,70,1466,NA,NA
502,luscious,47,594,NA,NA
503,making,NA,505,NA,NA
504,many,162,705,NA,NA
505,meaty,NA,524,NA,NA
506,menthol,50,548,NA,NA
507,mountain,48,533,NA,NA
508,mourvedre,NA,572,NA,NA
509,need,34,534,NA,NA
510,nutmeg,31,607,NA,NA
511,old,66,740,NA,NA
512,opulent,115,846,NA,NA
513,planted,47,482,NA,NA
514,plums,44,667,NA,NA
515,plush,38,709,NA,NA
516,pomegranate,NA,641,NA,NA
517,potential,114,916,NA,NA
518,power,233,1437,NA,NA
519,powerful,247,1883,NA,NA
520,produced,74,766,NA,NA
521,producer,NA,502,NA,NA
522,provide,81,937,NA,NA
523,purity,56,481,NA,NA
524,purple,27,671,NA,NA
525,really,49,505,NA,NA
526,refined,106,769,NA,NA
527,restrained,NA,541,NA,NA
528,richly,37,602,NA,NA
529,ripeness,46,814,NA,NA
530,robust,NA,478,NA,NA
531,sandalwood,49,515,NA,NA
532,sense,64,993,NA,NA
533,serious,55,636,NA,NA
534,several,31,500,NA,NA
535,sip,51,827,NA,NA
536,site,36,480,NA,NA
537,six,41,481,NA,NA
538,small,34,498,NA,NA
539,smoked,36,568,NA,NA
540,soil,46,588,NA,NA
541,sourced,31,576,NA,NA
542,spiced,NA,503,NA,NA
543,star,55,521,NA,NA
544,steely,31,584,NA,NA
545,streak,NA,516,NA,NA
546,succulent,46,562,NA,NA
547,support,35,476,NA,NA
548,take,40,620,NA,NA
549,tar,NA,509,NA,NA
550,taut,60,643,NA,NA
551,thyme,35,607,NA,NA
552,tightly,66,802,NA,NA
553,top,70,660,NA,NA
554,velvety,106,1515,NA,NA
555,vines,91,1081,NA,NA
556,winemaker,51,738,NA,NA
557,winery,38,622,NA,NA
558,winerys,54,528,NA,NA
559,absolutely,34,NA,NA,NA
560,ageworthy,47,NA,NA,NA
561,alluring,35,NA,NA,NA
562,always,55,NA,NA,NA
